PhonStrsDISC	Word Mann	InitGramCat	Gram Categories	Open/Closed	Word
§Unt	150507	C	CONJ	Closed	und
§In	110326	PREP	PRE	Closed	in
§deɐ	72942	ART	DET	Closed	der
§deɐ	72942	PRON	PRO	Closed	der
§deɐ	72942	PRON	PRO	Closed	der
§di	68292	ART	DET	Closed	die
§di	68292	PRON	PRO	Closed	die
§di	68292	PRON	PRO	Closed	die
§nIçt	47745	ADV	ADV	Open	nicht
§Ist	44361	V	VERB	Open	ist
§Es	38257	PRON	PRO	Closed	es
§d&s	35188	C	CONJ	Closed	dass
§Iç	34858	PRON	PRO	Closed	ich
§eɐ	34542	PRON	PRO	Closed	er
§=u	30829	PREP	PRE	Closed	zu
§=u	30829	ADV	ADV	Open	zu
§Bx	28836	C	CONJ	Closed	auch
§fOn	27935	PREP	PRE	Closed	von
§fOn	27935	ADV	ADV	Open	von
§mIt	25618	PREP	PRE	Closed	mit
§mIt	25618	ADV	ADV	Open	mit
§den	23993	ART	DET	Closed	den
§den	23993	PRON	PRO	Closed	den
§den	23993	PRON	PRO	Closed	den
§d&s	22809	ART	DET	Closed	das
§d&s	22809	PRON	PRO	Closed	das
§d&s	22809	PRON	PRO	Closed	das
§Bf	22051	PREP	PRE	Closed	auf
§Bf	22051	ADV	ADV	Open	auf
§veɐ .d@n	21415	V	VERB	Open	werden
§zi	20876	PRON	PRO	Closed	sie
§zi	20876	PRON	PRO	Closed	sie
§viɐ	20593	PRON	PRO	Closed	wir
§zo	20116	ADV	ADV	Open	so
§h&t	19976	V	VERB	Open	hat
§fyɐ	19688	PREP	PRE	Closed	fuer
§fyɐ	19688	ADV	ADV	Open	fuer
§vaɐ	19410	V	VERB	Open	war
§nOx	19041	ADV	ADV	Open	noch
§vIrt	18969	V	VERB	Open	wird
§bW	17819	PREP	PRE	Closed	bei
§zInt	17626	V	VERB	Open	sind
§nuɐ	17252	ADV	ADV	Open	nur
§dEs	16604	ART	DET	Closed	des
§dEs	16604	PRON	PRO	Closed	des
§dEs	16604	PRON	PRO	Closed	des
§m&n	16296	PRON	PRO	Closed	man
§ha .b@n	14981	V	VERB	Open	haben
§&n	14903	PREP	PRE	Closed	an
§&n	14903	ADV	ADV	Open	an
§&ls	14421	C	CONJ	Closed	als
§&ls	14421	ADV	ADV	Open	als
§zIç	14209	PRON	PRO	Closed	sich
§zIç	14209	PRON	PRO	Closed	sich
§zIç	14209	PRON	PRO	Closed	sich
§vEn	14070	C	CONJ	Closed	wenn
§ja	13998	ADV	ADV	Open	ja
§o .dɐ	13242	C	CONJ	Closed	oder
§dem	13064	ART	DET	Closed	dem
§dem	13064	PRON	PRO	Closed	dem
§dem	13064	PRON	PRO	Closed	dem
§Bs	11549	PREP	PRE	Closed	aus
